title;author;year;avg_rating;ratings;url
Children of Dune (Dune, #3);Frank Herbert;1976;3.96;206224;https://www.goodreads.com/book/show/44492286-children-of-dune
The Forever War (The Forever War, #1);Joe Haldeman;1974;4.14;169677;https://www.goodreads.com/book/show/21611.The_Forever_War
Childhood’s End (Mass Market Paperback);Arthur C. Clarke;1953;4.12;162667;https://www.goodreads.com/book/show/414999.Childhood_s_End
This Is How You Lose the Time War (Kindle Edition);Amal El-Mohtar;2019;3.88;238909;https://www.goodreads.com/book/show/43352954-this-is-how-you-lose-the-time-war
The Maze Runner (The Maze Runner, #1);James Dashner;2009;4.05;1562801;https://www.goodreads.com/book/show/6186357-the-maze-runner
Ancillary Justice (Imperial Radch, #1);Ann Leckie;2013;3.99;109353;https://www.goodreads.com/book/show/17333324-ancillary-justice
Station Eleven (Hardcover);Emily St. John Mandel;2014;4.07;539242;https://www.goodreads.com/book/show/20170404-station-eleven
Artificial Condition (The Murderbot Diaries, #2);Martha Wells;2018;4.27;153699;https://www.goodreads.com/book/show/36223860-artificial-condition
Rendezvous with Rama (Rama, #1);Arthur C. Clarke;1973;4.12;170166;https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama
The Man in the High Castle (Paperback);Philip K. Dick;1962;3.6;217737;https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle
Never Let Me Go (Paperback);Kazuo Ishiguro;2005;3.85;727178;https://www.goodreads.com/book/show/6334.Never_Let_Me_Go
The Dispossessed: An Ambiguous Utopia (Paperback);Ursula K. Le Guin;1974;4.25;130032;https://www.goodreads.com/book/show/13651.The_Dispossessed
Children of Time (Children of Time, #1);Adrian Tchaikovsky;2015;4.3;134968;https://www.goodreads.com/book/show/25499718-children-of-time
The Host (The Host, #1);Stephenie Meyer;2008;3.86;1017528;https://www.goodreads.com/book/show/1656001.The_Host
Caliban’s War (The Expanse, #2);James S.A. Corey;2012;4.38;160447;https://www.goodreads.com/book/show/12591698-caliban-s-war
So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4);Douglas Adams;1984;4.09;175594;https://www.goodreads.com/book/show/6091075-so-long-and-thanks-for-all-the-fish
The Moon Is a Harsh Mistress (Paperback);Robert A. Heinlein;1966;4.15;132506;https://www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress
Recursion (Hardcover);Blake Crouch;2019;4.17;252150;https://www.goodreads.com/book/show/42046112-recursion
Insurgent (Divergent, #2);Veronica Roth;2012;3.97;1530496;https://www.goodreads.com/book/show/11735983-insurgent
Redshirts (Hardcover);John Scalzi;2012;3.86;109848;https://www.goodreads.com/book/show/13055592-redshirts
Rogue Protocol (The Murderbot Diaries, #3);Martha Wells;2018;4.26;123839;https://www.goodreads.com/book/show/35519101-rogue-protocol
Scarlet (The Lunar Chronicles, #2);Marissa Meyer;2013;4.24;430692;https://www.goodreads.com/book/show/13206760-scarlet
Wool Omnibus (Silo, #1);Hugh Howey;2012;4.22;222421;https://www.goodreads.com/book/show/13453029-wool-omnibus
Ringworld (Ringworld, #1);Larry Niven;1970;3.94;123371;https://www.goodreads.com/book/show/61179.Ringworld
Illuminae (The Illuminae Files, #1);Amie Kaufman;2015;4.24;154413;https://www.goodreads.com/book/show/23395680-illuminae
Xenocide (Ender's Saga, #3);Orson Scott Card;1991;3.81;159349;https://www.goodreads.com/book/show/8648.Xenocide
A Canticle for Leibowitz (St. Leibowitz, #1);Walter M. Miller Jr.;1959;3.98;111627;https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz
Oryx and Crake (MaddAddam, #1);Margaret Atwood;2003;4.01;271562;https://www.goodreads.com/book/show/46756.Oryx_and_Crake
Golden Son (Red Rising Saga, #2);Pierce Brown;2015;4.47;298192;https://www.goodreads.com/book/show/18966819-golden-son
The Invisible Man (Mass Market Paperback);H.G. Wells;1897;3.64;198793;https://www.goodreads.com/book/show/17184.The_Invisible_Man
Exit Strategy (The Murderbot Diaries, #4);Martha Wells;2018;4.38;109816;https://www.goodreads.com/book/show/35519109-exit-strategy
The Caves of Steel (Robot, #1);Isaac Asimov;1953;4.19;103238;https://www.goodreads.com/book/show/41811.The_Caves_of_Steel
Altered Carbon (Takeshi Kovacs, #1);Richard K. Morgan;2002;4.04;108391;https://www.goodreads.com/book/show/40792913-altered-carbon
Solaris (Paperback);Stanisław Lem;1961;3.99;112444;https://www.goodreads.com/book/show/95558.Solaris
Consider Phlebas (Culture, #1);Iain M. Banks;1987;3.85;93158;https://www.goodreads.com/book/show/8935689-consider-phlebas
The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5);Douglas Adams;1996;4.38;327006;https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
Abaddon’s Gate (The Expanse, #3);James S.A. Corey;2013;4.27;135665;https://www.goodreads.com/book/show/16131032-abaddon-s-gate
The Dark Forest (Remembrance of Earth’s Past, #2);Liu Cixin;2008;4.41;169396;https://www.goodreads.com/book/show/23168817-the-dark-forest
Parable of the Sower (Earthseed, #1);Octavia E. Butler;1993;4.21;182461;https://www.goodreads.com/book/show/52397.Parable_of_the_Sower
Kindred (Paperback);Octavia E. Butler;1979;4.3;230179;https://www.goodreads.com/book/show/60931.Kindred
Stories of Your Life and Others (ebook);Ted Chiang;2002;4.26;109360;https://www.goodreads.com/book/show/223380.Stories_of_Your_Life_and_Others
